"","long","lat","group","order","region","subregion"
"243",-124.303199768066,47.5383071899414,60,14465,"washington","main"
"244",-124.320381164551,47.5956039428711,60,14466,"washington","main"
"245",-124.371955871582,47.7101974487305,60,14467,"washington","main"
"246",-124.383415222168,47.7560348510742,60,14468,"washington","main"
"247",-124.429244995117,47.7846794128418,60,14469,"washington","main"
"248",-124.440704345703,47.8305168151855,60,14470,"washington","main"
"249",-124.475074768066,47.8419761657715,60,14471,"washington","main"
"250",-124.503730773926,47.8591651916504,60,14472,"washington","main"
"251",-124.566749572754,47.8992729187012,60,14473,"washington","main"
"252",-124.595397949219,47.9451065063477,60,14474,"washington","main"
"253",-124.63550567627,47.9852142333984,60,14475,"washington","main"
"254",-124.646965026855,48.0768890380859,60,14476,"washington","main"
"255",-124.681343078613,48.1571006774902,60,14477,"washington","main"
"256",-124.658424377441,48.2315864562988,60,14478,"washington","main"
"257",-124.63550567627,48.2888832092285,60,14479,"washington","main"
"258",-124.624053955078,48.3404502868652,60,14480,"washington","main"
"259",-124.664161682129,48.3519096374512,60,14481,"washington","main"
"260",-124.681343078613,48.3805541992188,60,14482,"washington","main"
"261",-124.63550567627,48.392017364502,60,14483,"washington","main"
"262",-124.589668273926,48.392017364502,60,14484,"washington","main"
"263",-124.497993469238,48.3690986633301,60,14485,"washington","main"
"264",-124.417785644531,48.3289909362793,60,14486,"washington","main"
"265",-124.331848144531,48.3003425598145,60,14487,"washington","main"
"266",-124.274543762207,48.2888832092285,60,14488,"washington","main"
"267",-124.222984313965,48.2659645080566,60,14489,"washington","main"
"268",-124.154220581055,48.2545051574707,60,14490,"washington","main"
"269",-124.079742431641,48.2315864562988,60,14491,"washington","main"
"270",-124.045356750488,48.202938079834,60,14492,"washington","main"
"271",-123.913581848145,48.1742897033691,60,14493,"washington","main"
"272",-123.770347595215,48.1571006774902,60,14494,"washington","main"
"273",-123.632827758789,48.1742897033691,60,14495,"washington","main"
"274",-123.575538635254,48.1456451416016,60,14496,"washington","main"
"275",-123.506790161133,48.1341819763184,60,14497,"washington","main"
"276",-123.460945129395,48.1399154663086,60,14498,"washington","main"
"277",-123.375007629395,48.1284523010254,60,14499,"washington","main"
"278",-123.283332824707,48.1169967651367,60,14500,"washington","main"
"279",-123.23176574707,48.1227264404297,60,14501,"washington","main"
"280",-123.14582824707,48.1169967651367,60,14502,"washington","main"
"281",-123.10572052002,48.1456451416016,60,14503,"washington","main"
"282",-123.048416137695,48.1284523010254,60,14504,"washington","main"
"283",-123.002578735352,48.0940780639648,60,14505,"washington","main"
"284",-122.991119384766,48.0654296875,60,14506,"washington","main"
"285",-122.962478637695,48.0367813110352,60,14507,"washington","main"
"286",-122.945289611816,48.059700012207,60,14508,"washington","main"
"287",-122.939552307129,48.0883445739746,60,14509,"washington","main"
"288",-122.876525878906,48.0768890380859,60,14510,"washington","main"
"289",-122.876525878906,48.0425109863281,60,14511,"washington","main"
"290",-122.82495880127,48.0253219604492,60,14512,"washington","main"
"291",-122.847877502441,47.9909439086914,60,14513,"washington","main"
"292",-122.82495880127,47.9852142333984,60,14514,"washington","main"
"293",-122.76766204834,48.0253219604492,60,14515,"washington","main"
"294",-122.819229125977,48.0768890380859,60,14516,"washington","main"
"295",-122.802047729492,48.1169967651367,60,14517,"washington","main"
"296",-122.733291625977,48.1284523010254,60,14518,"washington","main"
"297",-122.716094970703,48.0998077392578,60,14519,"washington","main"
"298",-122.756202697754,48.071159362793,60,14520,"washington","main"
"299",-122.73902130127,48.0195922851562,60,14521,"washington","main"
"300",-122.698913574219,48.0482406616211,60,14522,"washington","main"
"301",-122.670265197754,48.0195922851562,60,14523,"washington","main"
"302",-122.670265197754,48.0998077392578,60,14524,"washington","main"
"303",-122.630157470703,48.0768890380859,60,14525,"washington","main"
"304",-122.612976074219,48.0081329345703,60,14526,"washington","main"
"305",-122.647346496582,47.9451065063477,60,14527,"washington","main"
"306",-122.612976074219,47.8935432434082,60,14528,"washington","main"
"307",-122.601516723633,47.8706245422363,60,14529,"washington","main"
"308",-122.647346496582,47.8534355163574,60,14530,"washington","main"
"309",-122.65308380127,47.8190574645996,60,14531,"washington","main"
"310",-122.704635620117,47.8075981140137,60,14532,"washington","main"
"311",-122.710372924805,47.7732238769531,60,14533,"washington","main"
"312",-122.750480651855,47.7560348510742,60,14534,"washington","main"
"313",-122.73902130127,47.8075981140137,60,14535,"washington","main"
"314",-122.76766204834,47.8362464904785,60,14536,"washington","main"
"315",-122.76766204834,47.8018684387207,60,14537,"washington","main"
"316",-122.77912902832,47.7789497375488,60,14538,"washington","main"
"317",-122.82495880127,47.8133277893066,60,14539,"washington","main"
"318",-122.82495880127,47.7674903869629,60,14540,"washington","main"
"319",-122.813507080078,47.7331161499023,60,14541,"washington","main"
"320",-122.847877502441,47.7273864746094,60,14542,"washington","main"
"321",-122.870803833008,47.6758155822754,60,14543,"washington","main"
"322",-122.951011657715,47.6299819946289,60,14544,"washington","main"
"323",-122.97966003418,47.618522644043,60,14545,"washington","main"
"324",-123.002578735352,47.5956039428711,60,14546,"washington","main"
